chrom	start	end	strand	type	Name	intron_type
chrI	87388	87500	+	intron	YAL030W_intron	spliceosomal_intron
chrI	139188	139218	+	intron	tP(UGG)A_intron	tRNA_intron
chrI	142254	142619	+	intron	YAL003W_intron	spliceosomal_intron
chrI	151007	151096	-	intron	YAL001C_intron	spliceosomal_intron
chrI	181179	181210	+	intron	tL(CAA)A_intron	tRNA_intron
chrII	4117	4215	-	intron	YBL111C_intron	spliceosomal_intron
chrII	36435	36452	+	intron	tF(GAA)B_intron	tRNA_intron
chrII	45645	45977	+	five_prime_UTR_intron	YBL092W_five_prime_UTR_intron	spliceosomal_intron
chrII	47059	47146	-	intron	YBL091C-A_intron	spliceosomal_intron
chrII	60194	60697	-	intron	YBL087C_intron	spliceosomal_intron
chrII	89133	89440	-	five_prime_UTR_intron	YBL072C_five_prime_UTR_intron	spliceosomal_intron
chrII	110421	110505	-	intron	YBL059C-A_intron	spliceosomal_intron
chrII	110880	110948	+	intron	YBL059W_intron	spliceosomal_intron
chrII	125155	125270	+	intron	YBL050W_intron	spliceosomal_intron
chrII	142750	142846	-	intron	YBL040C_intron	spliceosomal_intron
chrII	168425	168808	+	intron	YBL027W_intron	spliceosomal_intron
chrII	170677	170804	+	intron	YBL026W_intron	spliceosomal_intron
chrII	186353	186427	-	intron	YBL018C_intron	spliceosomal_intron
chrII	332876	333386	+	intron	YBR048W_intron	spliceosomal_intron
chrII	366503	366584	-	intron	YBR062C_intron	spliceosomal_intron
chrII	393181	393510	+	intron	YBR078W_intron	spliceosomal_intron
chrII	407028	407122	-	intron	YBR082C_intron	spliceosomal_intron
chrII	414754	415259	-	intron	YBR084C-A_intron	spliceosomal_intron
chrII	426517	426873	-	five_prime_UTR_intron	YBR089C-A_five_prime_UTR_intron	spliceosomal_intron
chrII	426517	426873	-	intron	YBR090C_intron	spliceosomal_intron
chrII	462210	462289	+	intron	YBR111W-A_intron	spliceosomal_intron
chrII	462430	462499	+	intron	YBR111W-A_intron	spliceosomal_intron
chrII	479346	479434	+	intron	YBR119W_intron	spliceosomal_intron
chrII	592417	592768	-	intron	YBR181C_intron	spliceosomal_intron
chrII	602104	602216	+	intron	YBR186W_intron	spliceosomal_intron
chrII	604515	604927	+	intron	YBR189W_intron	spliceosomal_intron
chrII	606281	606668	+	intron	YBR191W_intron	spliceosomal_intron
chrII	653369	653452	+	intron	YBR215W_intron	spliceosomal_intron
chrII	662582	663002	-	intron	YBR219C_intron	spliceosomal_intron
chrII	679943	680039	-	intron	YBR230C_intron	spliceosomal_intron
chrII	726918	727011	-	intron	YBR255C-A_intron	spliceosomal_intron
chrIII	90897	90928	+	intron	tL(CAA)C_intron	tRNA_intron
chrIII	101634	101700	-	intron	YCL012C_intron	spliceosomal_intron
chrIII	107034	107110	+	intron	YCL005W-A_intron	spliceosomal_intron
chrIII	107192	107287	+	intron	YCL005W-A_intron	spliceosomal_intron
chrIII	111558	111633	-	intron	YCL002C_intron	spliceosomal_intron
chrIII	173116	173198	-	intron	YCR028C-A_intron	spliceosomal_intron
chrIII	177907	178213	-	intron	YCR031C_intron	spliceosomal_intron
chrIII	227979	227997	+	intron	tS(CGA)C_intron	tRNA_intron
chrIII	293940	293993	+	intron	YCR097W_intron	spliceosomal_intron
chrIII	294240	294291	+	intron	YCR097W_intron	spliceosomal_intron
chrIV	65307	65377	+	intron	YDL219W_intron	spliceosomal_intron
chrIV	117667	118157	+	intron	YDL191W_intron	spliceosomal_intron
chrIV	122078	122176	+	five_prime_UTR_intron	YDL189W_five_prime_UTR_intron	spliceosomal_intron
chrIV	216158	216489	+	five_prime_UTR_intron	YDL137W_five_prime_UTR_intron	spliceosomal_intron
chrIV	217603	218007	+	intron	YDL136W_intron	spliceosomal_intron
chrIV	230020	230320	+	intron	YDL130W_intron	spliceosomal_intron
chrIV	239399	239509	-	intron	YDL125C_intron	spliceosomal_intron
chrIV	254975	255044	-	intron	YDL115C_intron	spliceosomal_intron
chrIV	267726	267806	+	intron	YDL108W_intron	spliceosomal_intron
chrIV	307334	307765	-	intron	YDL083C_intron	spliceosomal_intron
chrIV	308428	308792	+	intron	YDL082W_intron	spliceosomal_intron
chrIV	314045	314336	-	intron	YDL079C_intron	spliceosomal_intron
chrIV	322283	322703	+	intron	YDL075W_intron	spliceosomal_intron
chrIV	337525	337634	+	intron	YDL064W_intron	spliceosomal_intron
chrIV	340811	341219	-	five_prime_UTR_intron	YDL061C_five_prime_UTR_intron	spliceosomal_intron
chrIV	359614	359636	+	intron	tK(UUU)D_intron	tRNA_intron
chrIV	399362	399484	+	intron	YDL029W_intron	spliceosomal_intron
chrIV	431387	431472	-	intron	YDL012C_intron	spliceosomal_intron
chrIV	458018	458097	-	intron	YDR005C_intron	spliceosomal_intron
chrIV	491560	491898	+	intron	YDR025W_intron	spliceosomal_intron
chrIV	569634	569723	-	intron	YDR059C_intron	spliceosomal_intron
chrIV	579479	580017	+	intron	YDR064W_intron	spliceosomal_intron
chrIV	629906	630173	+	intron	YDR092W_intron	spliceosomal_intron
chrIV	652781	653523	+	five_prime_UTR_intron	YDR099W_five_prime_UTR_intron	spliceosomal_intron
chrIV	715248	715358	-	intron	YDR129C_intron	spliceosomal_intron
chrIV	733703	733775	-	intron	YDR139C_intron	spliceosomal_intron
chrIV	884398	884457	+	intron	tI(UAU)D_intron	tRNA_intron
chrIV	946351	946364	+	intron	tY(GUA)D_intron	tRNA_intron
chrIV	1073313	1073401	-	intron	YDR305C_intron	spliceosomal_intron
chrIV	1095406	1095424	-	intron	tF(GAA)D_intron	tRNA_intron
chrIV	1103810	1103892	+	intron	YDR318W_intron	spliceosomal_intron
chrIV	1212878	1212978	+	intron	YDR367W_intron	spliceosomal_intron
chrIV	1236843	1237608	+	intron	YDR381W_intron	spliceosomal_intron
chrIV	1238631	1238824	-	intron	YDR381C-A_intron	spliceosomal_intron
chrIV	1266770	1266861	-	intron	YDR397C_intron	spliceosomal_intron
chrIV	1319618	1319697	-	intron	YDR424C_intron	spliceosomal_intron
chrIV	1319721	1319816	-	intron	YDR424C_intron	spliceosomal_intron
chrIV	1355237	1355550	-	intron	YDR447C_intron	spliceosomal_intron
chrIV	1359970	1360404	+	intron	YDR450W_intron	spliceosomal_intron
chrIV	1401801	1402184	+	intron	YDR471W_intron	spliceosomal_intron
chrIV	1450458	1450846	-	intron	YDR500C_intron	spliceosomal_intron
chrIV	1461759	1461791	-	intron	tL(CAA)D_intron	tRNA_intron
chrIV	1507059	1507314	-	intron	YDR535C_intron	spliceosomal_intron
chrV	4323	4601	-	intron	YEL076C-A_intron	spliceosomal_intron
chrV	131777	131899	+	intron	YEL012W_intron	spliceosomal_intron
chrV	148195	148282	+	intron	YEL003W_intron	spliceosomal_intron
chrV	158995	159087	-	intron	YER003C_intron	spliceosomal_intron
chrV	166772	166874	-	intron	YER007C-A_intron	spliceosomal_intron
chrV	184170	184677	-	intron	YER014C-A_intron	spliceosomal_intron
chrV	239624	239711	-	intron	YER044C-A_intron	spliceosomal_intron
chrV	269752	270148	-	intron	YER056C-A_intron	spliceosomal_intron
chrV	306326	306791	+	intron	YER074W_intron	spliceosomal_intron
chrV	307747	307848	+	intron	YER074W-A_intron	spliceosomal_intron
chrV	307957	308067	+	intron	YER074W-A_intron	spliceosomal_intron
chrV	348202	348276	-	intron	YER093C-A_intron	spliceosomal_intron
chrV	362733	363092	+	five_prime_UTR_intron	YER102W_five_prime_UTR_intron	spliceosomal_intron
chrV	396811	397281	+	intron	YER117W_intron	spliceosomal_intron
chrV	423591	423951	+	five_prime_UTR_intron	YER131W_five_prime_UTR_intron	spliceosomal_intron
chrV	432672	433196	+	intron	YER133W_intron	spliceosomal_intron
chrV	548553	548644	+	intron	YER179W_intron	spliceosomal_intron
chrVI	54378	54686	-	intron	YFL039C_intron	spliceosomal_intron
chrVI	63860	63973	-	intron	YFL034C-B_intron	spliceosomal_intron
chrVI	64600	64920	-	intron	YFL034C-A_intron	spliceosomal_intron
chrVI	75840	76091	+	intron	YFL031W_intron	spliceosomal_intron
chrVI	101412	101442	+	intron	tP(UGG)F_intron	tRNA_intron
chrVI	157952	157970	-	intron	tF(GAA)F_intron	tRNA_intron
chrVI	167476	167489	+	intron	tY(GUA)F1_intron	tRNA_intron
chrVI	191558	191576	-	intron	tS(GCU)F_intron	tRNA_intron
chrVI	203293	203386	-	intron	YFR024C-A_intron	spliceosomal_intron
chrVI	210655	210668	-	intron	tY(GUA)F2_intron	tRNA_intron
chrVI	221268	221414	-	intron	YFR031C-A_intron	spliceosomal_intron
chrVI	223441	223771	-	five_prime_UTR_intron	YFR032C-A_five_prime_UTR_intron	spliceosomal_intron
chrVI	242010	242081	+	intron	YFR045W_intron	spliceosomal_intron
chrVII	31427	31578	-	intron	YGL251C_intron	spliceosomal_intron
chrVII	62132	62189	+	intron	YGL232W_intron	spliceosomal_intron
chrVII	72989	73137	-	intron	YGL226C-A_intron	spliceosomal_intron
chrVII	115525	115547	+	intron	tK(UUU)G1_intron	tRNA_intron
chrVII	148599	148966	-	five_prime_UTR_intron	YGL189C_five_prime_UTR_intron	spliceosomal_intron
chrVII	150184	150525	-	five_prime_UTR_intron	YGL187C_five_prime_UTR_intron	spliceosomal_intron
chrVII	157200	157282	-	intron	YGL183C_intron	spliceosomal_intron
chrVII	167355	167994	+	intron	YGL178W_intron	spliceosomal_intron
chrVII	205559	205590	+	intron	tL(CAA)G1_intron	tRNA_intron
chrVII	249887	250086	+	intron	YGL137W_intron	spliceosomal_intron
chrVII	287386	287419	-	intron	tW(CCA)G1_intron	tRNA_intron
chrVII	311016	311526	+	intron	YGL103W_intron	spliceosomal_intron
chrVII	346809	346893	-	intron	YGL087C_intron	spliceosomal_intron
chrVII	364965	365432	-	intron	YGL076C_intron	spliceosomal_intron
chrVII	365527	365985	-	intron	YGL076C_intron	spliceosomal_intron
chrVII	423130	423161	+	intron	tL(CAA)G2_intron	tRNA_intron
chrVII	435680	435749	+	intron	YGL033W_intron	spliceosomal_intron
chrVII	436313	436374	+	intron	YGL033W_intron	spliceosomal_intron
chrVII	437942	438397	-	five_prime_UTR_intron	YGL031C_five_prime_UTR_intron	spliceosomal_intron
chrVII	439094	439323	+	intron	YGL030W_intron	spliceosomal_intron
chrVII	440752	440770	-	intron	tF(GAA)G_intron	tRNA_intron
chrVII	497366	497458	-	intron	YGR001C_intron	spliceosomal_intron
chrVII	497938	497999	-	intron	YGR001C_intron	spliceosomal_intron
chrVII	534474	534785	-	five_prime_UTR_intron	YGR027C_five_prime_UTR_intron	spliceosomal_intron
chrVII	543639	543721	+	intron	YGR029W_intron	spliceosomal_intron
chrVII	555831	556307	+	intron	YGR034W_intron	spliceosomal_intron
chrVII	700989	701011	-	intron	tK(UUU)G2_intron	tRNA_intron
chrVII	727039	727357	+	intron	YGR118W_intron	spliceosomal_intron
chrVII	787787	788178	-	five_prime_UTR_intron	YGR148C_five_prime_UTR_intron	spliceosomal_intron
chrVII	857422	857453	-	intron	tL(CAA)G3_intron	tRNA_intron
chrVII	859261	859473	-	intron	YGR183C_intron	spliceosomal_intron
chrVII	878746	878779	-	intron	tW(CCA)G2_intron	tRNA_intron
chrVII	920665	921119	+	intron	YGR214W_intron	spliceosomal_intron
chrVII	946328	946420	+	intron	YGR225W_intron	spliceosomal_intron
chrVII	1084883	1085030	+	intron	YGR296W_intron	spliceosomal_intron
chrVIII	1898	2670	-	intron	YHL050C_intron	spliceosomal_intron
chrVIII	104406	104803	+	intron	YHL001W_intron	spliceosomal_intron
chrVIII	107832	107894	+	intron	YHR001W-A_intron	spliceosomal_intron
chrVIII	126552	127112	+	intron	YHR010W_intron	spliceosomal_intron
chrVIII	129529	129647	+	intron	YHR012W_intron	spliceosomal_intron
chrVIII	138241	138408	-	intron	YHR016C_intron	spliceosomal_intron
chrVIII	148117	148666	-	intron	YHR021C_intron	spliceosomal_intron
chrVIII	187515	187676	-	intron	YHR039C-A_intron	spliceosomal_intron
chrVIII	189750	189850	-	intron	YHR041C_intron	spliceosomal_intron
chrVIII	237884	237902	-	intron	tF(GAA)H1_intron	tRNA_intron
chrVIII	251156	251248	+	intron	YHR076W_intron	spliceosomal_intron
chrVIII	255638	255750	-	intron	YHR077C_intron	spliceosomal_intron
chrVIII	262355	262440	-	intron	YHR079C-A_intron	spliceosomal_intron
chrVIII	298361	298484	-	intron	YHR097C_intron	spliceosomal_intron
chrVIII	315772	315858	-	intron	YHR101C_intron	spliceosomal_intron
chrVIII	354865	354955	+	intron	YHR123W_intron	spliceosomal_intron
chrVIII	358514	358532	-	intron	tF(GAA)H2_intron	tRNA_intron
chrVIII	382307	382747	-	intron	YHR141C_intron	spliceosomal_intron
chrVIII	388929	388959	-	intron	tP(UGG)H_intron	tRNA_intron
chrVIII	498720	498786	-	intron	YHR199C-A_intron	spliceosomal_intron
chrVIII	505248	505516	-	intron	YHR203C_intron	spliceosomal_intron
chrVIII	558616	558714	+	intron	YHR218W_intron	spliceosomal_intron
chrIX	4599	4986	-	intron	YIL177C_intron	spliceosomal_intron
chrIX	47699	47760	+	intron	YIL156W-B_intron	spliceosomal_intron
chrIX	68716	69149	+	intron	YIL148W_intron	spliceosomal_intron
chrIX	99096	99385	-	intron	YIL133C_intron	spliceosomal_intron
chrIX	127662	128148	+	five_prime_UTR_intron	YIL123W_five_prime_UTR_intron	spliceosomal_intron
chrIX	155223	155310	+	intron	YIL111W_intron	spliceosomal_intron
chrIX	166435	166519	+	intron	YIL106W_intron	spliceosomal_intron
chrIX	225810	225899	-	intron	YIL073C_intron	spliceosomal_intron
chrIX	231958	232366	-	intron	YIL069C_intron	spliceosomal_intron
chrIX	256555	257026	-	intron	YIL052C_intron	spliceosomal_intron
chrIX	316772	317171	+	intron	YIL018W_intron	spliceosomal_intron
